date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:54	44860/44860	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-af3c%22	https://html.themexriver.com/finance-top/assets/images/service-single/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/service-single/img-2.jpg	(from https://html.themexriver.com/finance-top/service-single-management.html)
16:06:54	37937/37937	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-9431%22	https://html.themexriver.com/finance-top/assets/images/service-single/img-3.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/service-single/img-3.jpg	(from https://html.themexriver.com/finance-top/service-single-vc.html)
16:06:54	63921/63921	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-f9b1%22	https://html.themexriver.com/finance-top/assets/images/service-single/img-4.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/service-single/img-4.jpg	(from https://html.themexriver.com/finance-top/service-single-investment.html)
16:06:55	41436/41436	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-a1dc%22	https://html.themexriver.com/finance-top/assets/images/service-single/img-5.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/service-single/img-5.jpg	(from https://html.themexriver.com/finance-top/service-single-insurance.html)
16:06:55	63962/63962	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-f9da%22	https://html.themexriver.com/finance-top/assets/images/service-single/img-6.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/service-single/img-6.jpg	(from https://html.themexriver.com/finance-top/service-single-mutual.html)
16:06:55	44575/44575	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-ae1f%22	https://html.themexriver.com/finance-top/assets/images/case-studies/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-studies/img-1.jpg	(from https://html.themexriver.com/finance-top/case-studies.html)
16:06:55	29976/29976	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-7518%22	https://html.themexriver.com/finance-top/assets/images/case-studies/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-studies/img-2.jpg	(from https://html.themexriver.com/finance-top/case-studies.html)
16:06:56	41948/41948	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-a3dc%22	https://html.themexriver.com/finance-top/assets/images/case-studies/img-3.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-studies/img-3.jpg	(from https://html.themexriver.com/finance-top/case-studies.html)
16:06:56	60823/60823	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-ed97%22	https://html.themexriver.com/finance-top/assets/images/case-studies/img-4.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-studies/img-4.jpg	(from https://html.themexriver.com/finance-top/case-studies.html)
16:06:56	53060/53060	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-cf44%22	https://html.themexriver.com/finance-top/assets/images/case-studies/img-5.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-studies/img-5.jpg	(from https://html.themexriver.com/finance-top/case-studies.html)
16:06:56	54474/54474	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-d4ca%22	https://html.themexriver.com/finance-top/assets/images/case-studies/img-6.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-studies/img-6.jpg	(from https://html.themexriver.com/finance-top/case-studies.html)
16:06:57	45385/45385	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-b149%22	https://html.themexriver.com/finance-top/assets/images/case-study-single/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-study-single/img-1.jpg	(from https://html.themexriver.com/finance-top/case-study-single.html)
16:06:57	11963/11963	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-2ebb%22	https://html.themexriver.com/finance-top/assets/images/case-study-single/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/case-study-single/img-2.jpg	(from https://html.themexriver.com/finance-top/case-study-single.html)
16:06:57	7160/7160	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-1bf8%22	https://html.themexriver.com/finance-top/assets/images/testimonials/img-3.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/testimonials/img-3.jpg	(from https://html.themexriver.com/finance-top/testimonials.html)
16:06:57	7367/7367	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-1cc7%22	https://html.themexriver.com/finance-top/assets/images/testimonials/img-4.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/testimonials/img-4.jpg	(from https://html.themexriver.com/finance-top/testimonials.html)
16:06:57	6901/6901	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-1af5%22	https://html.themexriver.com/finance-top/assets/images/testimonials/img-5.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/testimonials/img-5.jpg	(from https://html.themexriver.com/finance-top/testimonials.html)
16:06:58	6040/6040	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-1798%22	https://html.themexriver.com/finance-top/assets/images/testimonials/img-6.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/testimonials/img-6.jpg	(from https://html.themexriver.com/finance-top/testimonials.html)
16:06:58	21152/21152	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-52a0%22	https://html.themexriver.com/finance-top/assets/images/team/img-7.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/team/img-7.jpg	(from https://html.themexriver.com/finance-top/team.html)
16:06:58	21525/21525	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-5415%22	https://html.themexriver.com/finance-top/assets/images/team/img-8.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/team/img-8.jpg	(from https://html.themexriver.com/finance-top/team.html)
16:06:58	36988/36988	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-907c%22	https://html.themexriver.com/finance-top/assets/images/team/img-9.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/team/img-9.jpg	(from https://html.themexriver.com/finance-top/team.html)
16:06:59	36954/36954	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-905a%22	https://html.themexriver.com/finance-top/assets/images/team/img-10.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/team/img-10.jpg	(from https://html.themexriver.com/finance-top/team.html)
16:06:59	29756/29756	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-743c%22	https://html.themexriver.com/finance-top/assets/images/team/img-11.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/team/img-11.jpg	(from https://html.themexriver.com/finance-top/team.html)
16:06:59	22379/22379	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-576b%22	https://html.themexriver.com/finance-top/assets/images/team/img-12.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/team/img-12.jpg	(from https://html.themexriver.com/finance-top/team.html)
16:07:00	82269/82269	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-1415d%22	https://html.themexriver.com/finance-top/assets/images/blog/list-view/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog/list-view/img-1.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:00	42038/42038	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-a436%22	https://html.themexriver.com/finance-top/assets/images/blog/list-view/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog/list-view/img-2.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:00	60229/60229	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-eb45%22	https://html.themexriver.com/finance-top/assets/images/blog/list-view/img-3.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog/list-view/img-3.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:01	4374/4374	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-1116%22	https://html.themexriver.com/finance-top/assets/images/blog/thumb-2/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog/thumb-2/img-1.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:01	5179/5179	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-143b%22	https://html.themexriver.com/finance-top/assets/images/blog/thumb-2/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog/thumb-2/img-2.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:01	3820/3820	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-eec%22	https://html.themexriver.com/finance-top/assets/images/blog/thumb-2/img-3.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog/thumb-2/img-3.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:01	4111/4111	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-100f%22	https://html.themexriver.com/finance-top/assets/images/instagram/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/instagram/img-1.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:02	2927/2927	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-b6f%22	https://html.themexriver.com/finance-top/assets/images/instagram/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/instagram/img-2.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:02	3627/3627	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-e2b%22	https://html.themexriver.com/finance-top/assets/images/instagram/img-3.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/instagram/img-3.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:02	3389/3389	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-d3d%22	https://html.themexriver.com/finance-top/assets/images/instagram/img-4.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/instagram/img-4.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:02	3972/3972	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-f84%22	https://html.themexriver.com/finance-top/assets/images/instagram/img-5.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/instagram/img-5.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:02	3470/3470	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-d8e%22	https://html.themexriver.com/finance-top/assets/images/instagram/img-6.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/instagram/img-6.jpg	(from https://html.themexriver.com/finance-top/blog-default.html)
16:07:03	47442/47442	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-b952%22	https://html.themexriver.com/finance-top/assets/images/blog-single/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog-single/img-1.jpg	(from https://html.themexriver.com/finance-top/blog-details.html)
16:07:03	28595/28595	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-6fb3%22	https://html.themexriver.com/finance-top/assets/images/blog-single/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog-single/img-2.jpg	(from https://html.themexriver.com/finance-top/blog-details.html)
16:07:03	1774/1774	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-6ee%22	https://html.themexriver.com/finance-top/assets/images/blog-single/comments/img-1.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog-single/comments/img-1.jpg	(from https://html.themexriver.com/finance-top/blog-details.html)
16:07:04	1727/1727	---M--	200	added ('OK')	image/jpeg	etag:%225f9867ce-6bf%22	https://html.themexriver.com/finance-top/assets/images/blog-single/comments/img-2.jpg	C:/Users/rishi/Documents/All%20themes/iits/html.themexriver.com/finance-top/assets/images/blog-single/comments/img-2.jpg	(from https://html.themexriver.com/finance-top/blog-details.html)
